location,issue,description,affected_people,severity,additional_info,hashtags
Kotturpuram near Ritchie Street,blocked roads,Stuck in Saidapet with need evacuatio,10,Moderate,"Flood water rising, urgent help nee",#Stuck #Urgent
Egmore near Mandaveli Street,stranded residents,Stuck in Kodambakkam with urgent re,49,Low,"Lost contact with family, seeking h",#ChennaiFlood #Urgent
Besant Nagar near Lloyds Road,fallen trees,Stuck in Royapettah with medical eme,24,High,Need immediate evacuation.,#ChennaiFlood #NeedHelp
Royapettah near Lloyds Road,fallen trees,Stuck in Poonamallee with urgent resc,28,Low,"Flood water rising, urgent help nee",#CycloneRelief #Stuck
Washermanpet near OMR Road,urgent rescue needed,Stuck in Porur with severe wind damas,22,High,Stuck with no power or network ac,#NeedHelp #RescueNeeded
Anna Nagar near Sterling Road,fallen trees,Stuck in Anna Nagar with waterlogged,6,High,Stuck with no power or network ac,#CycloneRelief #Stuck
Saidapet near Mount Road,need evacuation,Stuck in Porur with heavy rainfall. Con,34,High,Requesting food and water urgent!,#Stuck #ChennaiFlood
Poonamallee near Besant Avenue,power outage,Stuck in Egmore with road collapse. Cc,26,Low,Requesting food and water urgent!,#Stuck #Urgent
Poonamallee near Arcot Road,no electricity,Stuck in Porur with urgent rescue neet,37,Low,Need immediate evacuation.,#NeedHelp #Stuck
Marina Beach near Raja Annamalai Pura,no electricity,Stuck in Marina Beach with flooded str,8,High,Stuck with no power or network ac,#CycloneRelief #Urgent
Nungambakkam near Mount Road,power outage,Stuck in Guindy with blocked roads. Cc,8,High,Requesting food and water urgent!,#CycloneRelief #Stuck
Mylapore near Dr. Radhakrishnan Salai,no drinking water,Stuck in Kodambakkam with road collz,36,High,"Flood water rising, urgent help nee",#CycloneRelief #Stuck
Saidapet near Raja Annamalai Puram,no electricity,Stuck in Mylapore with no drinking wa,45,Low,Medical assistance required.,#Stuck #ChennaiFlood
Egmore near Raja Annamalai Puram,urgent rescue needed,Stuck in Perungudi with power outage,36,Low,Need immediate evacuation.,#CycloneRelief #RescueNeeded
Perungudi near Raja Annamalai Puram,medical emergency,Stuck in Adyar with heavy rainfall. Cor,45,Low,"Flood water rising, urgent help nee",#RescueNeeded #CycloneRelief
Thiruvanmiyur near Poonamallee High F,road collapse,Stuck in Porur with no drinking water.,46,Moderate,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Guindy near Cathedral Road,fallen trees,Stuck in Marina Beach with food short,48,Moderate,Stuck with no power or network ac,#Urgent #ChennaiFlood
Nungambakkam near Arcot Road,road collapse,Stuck in Washermanpet with road coll,25,Low,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Kodambakkam near Kilpauk Garden Roza,damaged vehicles,Stuck in Kodambakkam with fallen tre,26,High,Stuck with no power or network ac,#Urgent #Stuck
Nungambakkam near Ritchie Street,flooded streets,Stuck in Mylapore with road collapse. |,37,High,Requesting food and water urgent!,#CycloneRelief #Stuck
Adyar near Ritchie Street,severe wind damage,Stuck in Kotturpuram with sewage ove,38,Moderate,"Flood water rising, urgent help nee",#Stuck #CycloneRelief
Porur near Greams Road,medical emergency,Stuck in Porur with landslide risk. Con,7,Low,"Flood water rising, urgent help nee",#NeedHelp #RescueNeeded
Poonamallee near Cathedral Road,stranded residents,Stuck in Kotturpuram with no electri,23,Low,Need immediate evacuation.,#ChennaiFlood #NeedHelp
Besant Nagar near Raja Annamalai Pura,need evacuation,Stuck in Nungambakkam with urgent r,11,High,Medical assistance required.,#NeedHelp #Urgent
Adyar near Mandaveli Street,need evacuation,Stuck in Porur with damaged vehicles.,42,High,Need immediate evacuation.,#CycloneRelief #RescueNeeded
Guindy near Lloyds Road,sewage overflow,Stuck in T. Nagar with road collapse. C,19,High,Requesting food and water urgent!,#Urgent #CycloneRelief
Anna Nagar near Marina Loop Road,need evacuation,Stuck in Besant Nagar with sewage ov,40,Low,Medical assistance required.,#NeedHelp #Stuck
Alwarpet near Chamiers Road,need evacuation,Stuck in Velachery with medical emerg,39,Moderate,"Flood water rising, urgent help nee",#Stuck #CycloneRelief
Adyar near OMR Road,damaged vehicles,Stuck in Thiruvanmiyur with no mobile,11,High,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Guindy near Chamiers Road,damaged vehicles,Stuck in Velachery with landslide risk.,13,Moderate,Stuck with no power or network ac,#Urgent #NeedHelp
Kotturpuram near Dr. Radhakrishnan Sa,power outage,Stuck in Besant Nagar with urgent res,27,Low,Stuck with no power or network ac,#Urgent #RescueNeeded
Mylapore near Lloyds Road,fallen trees,Stuck in T. Nagar with no electricity. C,44,Low,"Lost contact with family, seeking h",#ChennaiFlood #RescueNeeded
Perungudi near Greenways Road,food shortage,Stuck in Anna Nagar with flooded stree,28,Moderate,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Adyar near Lloyds Road,heavy rainfall,Stuck in Nungambakkam with no mobi,8,Moderate,"Flood water rising, urgent help nee",#CycloneRelief #RescueNeeded
Royapettah near Besant Avenue,damaged vehicles,Stuck in Kotturpuram with damaged v,33,Low,Need immediate evacuation.,#Stuck #ChennaiFlood
Saidapet near ECR Road,need evacuation,Stuck in Nungambakkam with power o,44,High,Stuck with no power or network ac,#ChennaiFlood #Stuck
Marina Beach near Mount Road,no electricity,Stuck in Thiruvanmiyur with fallen tree,13,Moderate,"Lost contact with family, seeking h",#Urgent #ChennaiFlood
Alwarpet near Nungambakkam High Ro:,road collapse,Stuck in Adyar with medical emergenc,17,Moderate,"Lost contact with family, seeking h",#NeedHelp #Stuck
Royapettah near Dr. Radhakrishnan Sal:,no drinking water,Stuck in Perungudi with power outage,20,High,Need immediate evacuation.,#Urgent #ChennaiFlood
Alwarpet near Mount Road,no drinking water,Stuck in Marina Beach with heavy rain,37,High,Stuck with no power or network ac,#ChennaiFlood #Urgent
Marina Beach near Poonamallee High R«,flooded streets,Stuck in Kotturpuram with landslide ri,41,Low,Medical assistance required.,#CycloneRelief #RescueNeeded
Marina Beach near Mandaveli Street,medical emergency,Stuck in Anna Nagar with damaged vel,11,Moderate,Stuck with no power or network ac,#RescueNeeded #CycloneRelief
Perungudi near Greenways Road,flooded streets,Stuck in Kotturpuram with need evacu,47,Moderate,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Mylapore near Raja Annamalai Puram,road collapse,Stuck in Marina Beach with flooded str,36,Low,Medical assistance required.,#ChennaiFlood #Stuck
Marina Beach near Kilpauk Garden Roac,fallen trees,Stuck in Egmore with medical emerger,3,High,"Lost contact with family, seeking h",#RescueNeeded #ChennaiFlood
Egmore near Arcot Road,no mobile network,Stuck in Saidapet with sewage overflo,4,Low,Need immediate evacuation.,#Stuck #RescueNeeded
Anna Nagar near Dr. Radhakrishnan Sal:,damaged vehicles,Stuck in Royapettah with flooded stree,19,Moderate,Requesting food and water urgent!,#RescueNeeded #CycloneRelief
Marina Beach near Nungambakkam Hig!,food shortage,Stuck in Thiruvanmiyur with power out,17,Low,"Flood water rising, urgent help nee",#Urgent #ChennaiFlood
Poonamallee near Chamiers Road,no mobile network,Stuck in Porur with food shortage. Con,14,Moderate,Stuck with no power or network ac,#RescueNeeded #Urgent
Perungudi near Sterling Road,need evacuation,Stuck in Alwarpet with food shortage.,9,Moderate,Need immediate evacuation.,#ChennaiFlood #RescueNeeded
Anna Nagar near Kilpauk Garden Road,road collapse,Stuck in Kotturpuram with landslide ri,27,High,Medical assistance required.,#Urgent #ChennaiFlood
Guindy near Anna Salai,damaged vehicles,Stuck in Kotturpuram with damaged v,41,High,"Lost contact with family, seeking h",#Urgent #ChennaiFlood
Mylapore near Greenways Road,fallen trees,Stuck in Guindy with no mobile networ,44,Moderate,"Flood water rising, urgent help nee",#Urgent #NeedHelp
Nungambakkam near Greenways Road,fallen trees,Stuck in Marina Beach with blocked ro,23,Low,"Lost contact with family, seeking h",#Stuck #NeedHelp
Egmore near Mandaveli Street,waterlogged houses,Stuck in Saidapet with no drinking wat,42,Low,Need immediate evacuation.,#NeedHelp #RescueNeeded
Porur near Kilpauk Garden Road,urgent rescue needed,Stuck in Egmore with no electricity. Co,37,High,Requesting food and water urgent!,#RescueNeeded #Stuck
Anna Nagar near Mandaveli Street,need evacuation,Stuck in Anna Nagar with no electricity,26,Low,"Lost contact with family, seeking h",#RescueNeeded #Urgent
T. Nagar near OMR Road,no drinking water,Stuck in Kodambakkam with heavy rai,5,Low,"Lost contact with family, seeking h",#Stuck #ChennaiFlood
Besant Nagar near Nungambakkam Hig|,heavy rainfall,Stuck in Perungudi with no mobile net,31,Low,Stuck with no power or network ac,#RescueNeeded #ChennaiFlood
Besant Nagar near Raja Annamalai Pura,need evacuation,Stuck in Egmore with flooded streets. |,40,High,"Lost contact with family, seeking h",#ChennaiFlood #RescueNeeded
Velachery near Anna Salai,sewage overflow,Stuck in Royapettah with no electricity,18,High,"Flood water rising, urgent help nee",#Urgent #CycloneRelief
Thiruvanmiyur near Poonamallee High F,heavy rainfall,Stuck in Alwarpet with damaged vehic,47,Moderate,Medical assistance required.,#CycloneRelief #Stuck
Mylapore near Kilpauk Garden Road,severe wind damage,Stuck in Guindy with flooded streets. (,32,Low,Stuck with no power or network ac,#Urgent #NeedHelp
Besant Nagar near Nungambakkam Hig|,medical emergency,Stuck in Anna Nagar with no mobile ne,32,Moderate,Stuck with no power or network ac,#NeedHelp #ChennaiFlood
Egmore near Greams Road,damaged vehicles,Stuck in Thiruvanmiyur with medical e,20,High,"Lost contact with family, seeking h",#NeedHelp #Urgent
Washermanpet near Raja Annamalai Pui,fallen trees,Stuck in Porur with fallen trees. Condi,14,Low,Need immediate evacuation.,#NeedHelp #RescueNeeded
Velachery near Mount Road,flooded streets,Stuck in Anna Nagar with flooded stree,17,High,"Lost contact with family, seeking h",#ChennaiFlood #CycloneRelief
Thiruvanmiyur near Marina Loop Road,road collapse,Stuck in Velachery with heavy rainfall.,20,High,Medical assistance required.,#CycloneRelief #Stuck
Thiruvanmiyur near Greenways Road,sewage overflow,Stuck in Marina Beach with no mobile |,19,Low,Stuck with no power or network ac,#Urgent #ChennaiFlood
Mylapore near Besant Avenue,medical emergency,Stuck in Mylapore with medical emerg,30,High,Need immediate evacuation.,#Stuck #NeedHelp
Kodambakkam near Chamiers Road,power outage,Stuck in Washermanpet with damaged,45,Moderate,Medical assistance required.,#CycloneRelief #Urgent
Adyar near Besant Avenue,fallen trees,Stuck in Marina Beach with sewage ov,28,Low,"Lost contact with family, seeking h",#RescueNeeded #NeedHelp
Adyar near Cathedral Road,urgent rescue needed,Stuck in Nungambakkam with landslid,16,Low,Medical assistance required.,#ChennaiFlood #NeedHelp
Egmore near Mount Road,food shortage,Stuck in Alwarpet with no drinking wat,40,Moderate,Requesting food and water urgent!,#RescueNeeded #Urgent
Thiruvanmiyur near Ritchie Street,severe wind damage,Stuck in Nungambakkam with landslid,40,Low,Stuck with no power or network ac,#CycloneRelief #ChennaiFlood
Nungambakkam near Arcot Road,sewage overflow,Stuck in Anna Nagar with sewage over,26,Moderate,"Flood water rising, urgent help nee",#ChennaiFlood #Urgent
Royapettah near Mandaveli Street,severe wind damage,Stuck in Royapettah with road collapses,32,Low,Stuck with no power or network ac,#Urgent #NeedHelp
Marina Beach near Lloyds Road,no drinking water,Stuck in Alwarpet with sewage overflo,28,Moderate,Medical assistance required.,#Stuck #ChennaiFlood
Egmore near Mandaveli Street,no electricity,Stuck in Kotturpuram with waterlogge,28,High,Requesting food and water urgent!,#NeedHelp #CycloneRelief
Marina Beach near Marina Loop Road,medical emergency,Stuck in Perungudi with no drinking wi,33,Moderate,Requesting food and water urgent!,#Stuck #NeedHelp
Guindy near Kilpauk Garden Road,fallen trees,Stuck in Kotturpuram with no drinking,50,High,Medical assistance required.,#RescueNeeded #Stuck
Kodambakkam near Marina Loop Road,urgent rescue needed,Stuck in Kotturpuram with no drinking,40,Low,"Lost contact with family, seeking h",#Stuck #NeedHelp
Perungudi near OMR Road,power outage,Stuck in Saidapet with sewage overflo,34,High,Medical assistance required.,#Stuck #NeedHelp
Saidapet near Nungambakkam High Roz,food shortage,Stuck in Anna Nagar with blocked roac,37,Low,Requesting food and water urgent!,#ChennaiFlood #Urgent
Marina Beach near Besant Avenue,flooded streets,Stuck in Kodambakkam with no electri,21,Low,"Lost contact with family, seeking h",#Urgent #ChennaiFlood
Alwarpet near Poonamallee High Road,severe wind damage,Stuck in Poonamallee with landslide ri,18,Moderate,Requesting food and water urgent!,#RescueNeeded #Urgent
Saidapet near ECR Road,urgent rescue needed,Stuck in T. Nagar with blocked roads. (¢,36,Moderate,Requesting food and water urgent!,#CycloneRelief #Urgent
Royapettah near Greenways Road,power outage,Stuck in Perungudi with blocked roads,35,Moderate,"Lost contact with family, seeking h",#ChennaiFlood #RescueNeeded
Egmore near Anna Salai,no drinking water,Stuck in Egmore with no electricity. Co,2,High,Medical assistance required.,#RescueNeeded #Stuck
Thiruvanmiyur near ECR Road,landslide risk,Stuck in Adyar with severe wind dama,40,Moderate,Stuck with no power or network ac,#RescueNeeded #Stuck
T. Nagar near Ritchie Street,heavy rainfall,Stuck in Egmore with urgent rescue ne,5,High,Stuck with no power or network ac,#ChennaiFlood #CycloneRelief
Washermanpet near Anna Salai,power outage,Stuck in Washermanpet with medical ¢,10,Moderate,Need immediate evacuation.,#Stuck #Urgent
Nungambakkam near Besant Avenue,flooded streets,Stuck in Saidapet with no electricity. C,27,Moderate,"Lost contact with family, seeking h",#Urgent #RescueNeeded
Alwarpet near Kilpauk Garden Road,waterlogged houses,Stuck in Marina Beach with power out,32,Low,"Flood water rising, urgent help nee",#CycloneRelief #ChennaiFlood
Mylapore near Greams Road,no electricity,Stuck in Poonamallee with heavy rainf,11,High,"Flood water rising, urgent help nee",#Urgent #CycloneRelief
Guindy near Poonamallee High Road,damaged vehicles,Stuck in Perungudi with no electricity.,35,Low,"Flood water rising, urgent help nee",#ChennaiFlood #CycloneRelief
Kotturpuram near Cathedral Road,no electricity,Stuck in Mylapore with food shortage.,18,Low,Medical assistance required.,#NeedHelp #Urgent
Saidapet near Kilpauk Garden Road,severe wind damage,Stuck in Porur with urgent rescue neet,15,Low,"Flood water rising, urgent help nee",#Urgent #RescueNeeded
Saidapet near Nungambakkam High Roz,fallen trees,Stuck in Saidapet with no electricity. C,49,Low,Requesting food and water urgent!,#CycloneRelief #Urgent
Perungudi near Dr. Radhakrishnan Salai,need evacuation,Stuck in Washermanpet with urgent re,47,Low,Need immediate evacuation.,#ChennaiFlood #RescueNeeded
Kotturpuram near Ritchie Street,blocked roads,Stuck in Saidapet with need evacuatio,10,Moderate,"Flood water rising, urgent help nee",#Stuck #Urgent
